Something	101-030716-JAP_(Rat230_2).CEL	102-030716-JAP_(Rat230_2).CEL	104-030716-JAP_(Rat230_2).CEL	105-030716-JAP_(Rat230_2).CEL	106-030716-JAP_(Rat230_2).CEL	107-030716-JAP_(Rat230_2).CEL	109-030716-JAP_(Rat230_2).CEL	110-030716-JAP_(Rat230_2).CEL	112-030716-JAP_(Rat230_2).CEL	113-030716-JAP_(Rat230_2).CEL	115-030716-JAP_(Rat230_2).CEL	117-030716-JAP_(Rat230_2).CEL	118-030716-JAP_(Rat230_2).CEL	119-030716-JAP_(Rat230_2).CEL	120-030716-JAP_(Rat230_2).CEL	122-030716-JAP_(Rat230_2).CEL	123-030716-JAP_(Rat230_2).CEL	124-030716-JAP_(Rat230_2).CEL	125-030716-JAP_(Rat230_2).CEL	126-030716-JAP_(Rat230_2).CEL	128-030716-JAP_(Rat230_2).CEL	129-030716-JAP_(Rat230_2).CEL	130-030716-JAP_(Rat230_2).CEL	131-030716-JAP_(Rat230_2).CEL	132-030716-JAP_(Rat230_2).CEL	133-030716-JAP_(Rat230_2).CEL	134-030716-JAP_(Rat230_2).CEL	135-030716-JAP_(Rat230_2).CEL
1383891_a_at	7.380914	7.059051	7.085159	6.9587717	6.988264	7.3132033	7.035489	7.150153	7.2012086	7.107442	7.0371675	7.099494	7.069604	7.0122037	7.07703	7.1019473	7.204688	7.056649	7.016513	6.8580384	7.084629	7.090308	7.026151	6.8989277	6.9493456	7.0267386	6.795808	7.2022095
1383892_at	5.952883	5.672272	5.5523167	5.62834	5.439749	5.5368776	5.823848	5.757615	5.788245	5.6219254	5.302307	5.6751585	5.7231846	5.525571	5.203903	5.643058	5.8173804	5.6146317	5.615629	5.2147236	5.661031	5.7362347	5.5845604	5.7107687	5.514121	5.7119207	5.5219736	5.613965
1383893_at	3.248473	3.6198988	3.1949039	3.5843854	3.1532693	3.3326056	3.3349626	3.315816	3.0414536	3.3730555	3.5824142	3.3194494	3.330226	3.5481217	3.4803438	3.3038964	3.3691106	3.1417289	3.5521884	3.3539271	3.2592645	3.3472102	3.147986	3.4825754	3.6836843	3.4558308	3.4646187	3.2983384
1383894_at	7.576645	7.3599	7.4067836	7.310066	7.8784504	7.15853	7.486234	7.230359	7.110587	7.4823103	7.260895	7.0352564	7.272175	7.038386	7.357145	7.484982	7.1920505	7.37304	7.4131875	7.1432266	7.8088584	7.3956885	7.663894	7.41456	7.631542	7.405724	7.24714	7.4307036
1383895_at	3.9320483	3.9954686	3.9139893	4.162526	3.791982	4.215733	4.0414143	4.02248	3.8135657	4.1857333	4.3990526	4.282314	4.05249	4.0352907	4.2206674	4.097013	4.1619377	3.8566556	4.345214	4.027962	4.055029	3.9861796	3.8948293	4.072964	4.0992465	3.9461832	4.0251822	4.0936646
1383896_at	6.266031	6.4875336	6.8313637	6.4225526	6.5406528	6.256539	6.7791586	6.2215834	6.6933994	6.050512	6.2083483	6.583493	6.7911077	6.2324953	5.9333444	6.3952284	6.3727264	6.2332816	6.852684	6.3337965	6.9193788	6.5335894	6.6061473	6.0187335	6.575617	5.997365	6.166689	6.540015
1383897_at	4.505478	4.5583715	4.581012	4.5671005	4.55945	4.5956573	4.342596	4.452111	4.708992	4.498042	4.5187607	4.9071684	4.6771765	4.6295576	4.473445	4.4596996	4.2869625	4.3850136	4.3898067	4.4052725	4.6191015	4.55305	4.542433	4.691119	4.7092514	4.4162264	4.746292	4.39513
1383898_at	2.9669163	3.095045	2.979963	3.3320482	3.103384	3.1023293	2.8801284	3.1430342	2.987933	3.0964727	2.9671252	2.8808365	2.9108071	3.0649486	2.902795	2.898471	3.3154905	2.9829905	3.3657355	2.9825578	2.821564	2.9531443	2.889397	2.8921638	3.074466	2.7795167	2.9994717	2.988968
1383899_at	8.01649	7.987557	7.7561665	7.6339293	7.8790054	8.2352705	7.789914	7.851331	8.110574	7.799009	7.5652156	7.8641376	8.253467	8.394961	7.440859	8.190639	7.832134	8.115649	7.9935355	7.7698617	8.037629	8.084617	8.095791	7.81104	8.092984	7.9507747	7.811822	8.151903
1383900_at	3.7256205	3.6268854	3.7172298	3.6567338	3.792572	3.7433882	3.9774005	3.7040966	3.8106828	3.8844886	3.804461	3.8598855	3.665006	3.8203487	3.9525888	3.9152236	3.8609145	3.839818	3.8490982	3.9987345	3.7191164	3.7850757	3.5281882	4.2439647	3.6636894	3.74798	3.899796	3.653078
1383901_at	6.0977626	6.105834	6.0194116	5.7945166	6.124126	5.9348264	6.010028	6.051482	5.8166	5.8268824	5.1121645	5.892752	6.037089	6.1552515	5.9197865	6.148074	5.9445558	6.017633	5.881532	5.700672	6.011311	5.9379225	5.6886587	5.875072	6.063668	5.974622	5.74613	5.9801807
1383902_at	3.725976	3.7408178	3.7778883	3.4477286	3.6560426	3.8395014	3.6775873	3.5051787	3.7352388	3.7147048	3.7840571	3.6403577	3.8553162	3.5072825	3.5751643	3.6592155	3.4656732	3.5959134	3.6245723	3.6777546	3.5775754	3.5791469	3.4278219	3.4650722	3.7180438	3.5288122	3.5514014	3.8381915
1383903_at	4.7930727	4.904019	4.765888	4.978492	4.579961	5.0083437	4.9860506	4.608141	4.8101974	4.7351584	4.994445	4.9641576	4.8952384	4.8911395	5.1028943	4.7876196	4.9235005	4.5812593	4.7615747	5.0163383	4.9514084	4.938959	5.2527266	5.0602055	4.8068595	4.874899	5.0913444	5.0125813
1383904_at	12.028395	12.10576	12.184543	12.357026	12.525114	12.33912	12.825051	12.275384	12.107181	12.266762	12.475974	12.390014	12.182711	12.284298	12.314329	12.146554	12.191257	12.358307	12.106888	12.166094	12.091133	12.337108	12.117564	12.512672	12.322689	12.116245	12.176751	12.084372
1383905_at	5.6979733	5.5254908	5.8788123	5.626899	5.780888	5.858759	5.852953	5.912952	5.7627106	5.59321	5.3993893	5.7697315	5.6944404	5.982523	5.464159	5.8041315	5.6864405	5.4542103	5.7812138	5.7491655	5.6107464	5.5714455	5.552243	5.3084774	5.668106	5.429447	5.526052	5.688878
1383907_at	10.161981	10.164043	10.187106	10.192012	10.22931	10.003286	10.020195	10.028459	10.100512	10.006672	9.999655	10.022583	10.079078	9.880216	10.13829	10.113702	9.949623	10.065935	10.014673	10.07671	10.163361	10.068982	10.193989	9.918628	10.183223	10.271601	10.182106	10.171164
1383908_at	4.7839556	4.900424	5.0814342	4.947359	4.883909	4.6944494	4.8112288	5.1974277	4.7370405	4.70368	5.0765877	4.8411093	5.0602627	4.99685	4.8013773	5.053749	5.2320642	4.8104534	5.0503864	5.0179086	5.095584	4.843322	5.0357695	5.05238	4.8637433	5.1258535	4.8421783	5.1243668
