Something	601-030116-MW_(Rat230_2).CEL	602-030116-MW_(Rat230_2).CEL	603-030116-MW_(Rat230_2).CEL	605-030116-MW_(Rat230_2).CEL	607-030116-MW_(Rat230_2).CEL	608-030116-MW_(Rat230_2).CEL	609-030116-MW_(Rat230_2).CEL	610-030116-MW_(Rat230_2).CEL	612-030116-MW_(Rat230_2).CEL	613-030116-MW_(Rat230_2).CEL	614-030116-MW_(Rat230_2).CEL	615-030116-MW_(Rat230_2).CEL	616-030116-MW_(Rat230_2).CEL	618-030116-MW_(Rat230_2).CEL	619-030116-MW_(Rat230_2).CEL	620-030116-MW_(Rat230_2).CEL	621-030116-MW_(Rat230_2).CEL	622-030116-MW_(Rat230_2).CEL	623-030116-MW_(Rat230_2).CEL	625-030116-MW_(Rat230_2).CEL	627-030116-MW_(Rat230_2).CEL	628-030116-MW_(Rat230_2).CEL	629-030116-MW_(Rat230_2).CEL	630-030116-MW_(Rat230_2).CEL	631-030116-MW_(Rat230_2).CEL	632-030116-MW_(Rat230_2).CEL	633-030116-MW_(Rat230_2).CEL	635-030116-MW_(Rat230_2).CEL	636-030116-MW_(Rat230_2).CEL
1398944_at	7.305933	7.1160994	7.345459	7.378155	7.125276	7.344807	7.3993535	7.303568	7.403881	7.2245336	7.539953	7.3515544	7.111582	7.310785	7.2658234	7.2793303	7.269578	7.484298	7.1519437	7.135278	7.3527985	7.734947	7.311365	7.2752566	7.4391603	7.4434614	7.3142138	7.289613	7.507275
1398945_at	8.402991	8.180769	8.527582	8.602083	8.240583	8.462978	8.478296	8.512546	8.314848	8.515161	8.4381895	8.483491	8.368397	8.224275	8.755439	8.413306	8.310644	8.650087	8.22876	8.33572	8.402899	8.528817	8.559774	8.414288	8.600172	8.59548	8.217784	8.225958	8.561594
1398946_at	9.974728	10.111278	10.135555	9.98081	10.076426	10.020254	10.106351	9.982362	9.969432	10.062581	10.013422	10.146271	10.053024	10.083397	9.985406	10.254266	10.110474	9.965911	10.068685	10.194424	10.181744	9.987325	9.980023	10.146314	10.040483	9.931457	10.169319	10.05958	10.085132
1398947_at	9.809833	9.560448	9.8569	9.809272	9.507252	9.67664	9.846106	9.648914	9.891668	9.637827	9.790499	9.614573	9.616018	9.791594	9.782823	9.614179	9.700903	9.86872	9.590252	9.703355	9.744427	9.88439	9.769485	9.761777	9.624084	9.8506775	9.659559	9.777517	9.658034
1398948_at	10.287851	10.277554	10.339285	10.31971	10.293451	10.30566	10.387225	10.433981	10.398218	10.274946	10.515213	10.26413	10.27261	10.3810425	10.286167	10.231945	10.414877	10.443199	10.260294	10.084853	10.322968	10.427874	10.463551	10.299346	10.30994	10.330334	10.244995	10.231483	10.41678
1398949_at	8.644033	8.813553	8.76516	8.755912	8.721727	8.746038	8.836292	8.784709	8.748112	8.74532	8.760953	8.8073225	8.793916	8.832849	8.758034	8.735803	8.792691	8.738945	8.700893	8.958304	8.86392	8.817292	8.797161	8.750728	8.8589115	8.750598	8.771008	8.748641	8.777444
1398950_at	8.459176	8.238668	8.363043	8.610628	8.391493	8.4042425	8.707893	8.41287	8.488668	8.36363	8.479456	8.539773	8.265763	8.50078	8.473202	8.533056	8.424391	8.363499	8.244244	8.555063	8.365904	8.352713	8.331278	8.509418	8.582371	8.479584	8.411793	8.50778	8.612812
1398951_at	8.505531	8.279608	8.741863	8.644322	8.402966	8.6545925	8.717619	8.633902	8.56506	8.62291	8.635619	8.5706005	8.518824	8.706499	8.657324	8.548218	8.681679	8.582399	8.485397	8.38468	8.610692	8.592314	8.619051	8.608372	8.728512	8.730948	8.468979	8.428549	8.744316
1398952_at	9.279019	9.415994	9.357753	9.181302	9.482579	9.366215	9.362867	9.288535	9.517672	9.393157	9.220854	9.300983	9.339002	9.411949	9.306213	9.510257	9.151188	9.301452	9.339707	9.504896	9.364445	9.346255	9.299996	9.227204	9.389404	9.346545	9.4139185	9.276613	9.4311
1398953_at	8.072303	8.262381	8.147371	8.07867	8.361803	8.16149	8.171088	8.227716	8.152743	8.223812	8.139883	8.131475	8.282896	8.367431	8.193256	8.368092	8.252455	8.100127	8.132667	8.448732	8.238175	8.059723	8.063728	8.225715	8.052207	8.059445	8.241665	8.15545	8.35532
1398954_at	8.869144	8.974397	8.877412	9.051526	8.862524	9.072223	9.039769	9.072572	9.093567	9.152294	9.042657	8.9384165	8.973001	8.882199	8.948287	9.069797	9.163318	9.140278	8.989147	9.027372	9.000483	8.910211	9.173013	9.230469	9.174121	9.051111	9.224381	8.921114	9.036316
1398955_at	9.423161	9.292744	9.564959	9.422585	9.444876	9.453033	9.761751	9.494694	9.668623	9.45388	9.539242	9.467567	9.378685	9.641979	9.381426	9.477947	9.598829	9.513499	9.372448	9.524694	9.478748	9.554018	9.429268	9.554405	9.460697	9.322142	9.450651	9.399597	9.632631
