Something	030816-MW-502_(Rat230_2).CEL	030816-MW-504_(Rat230_2).CEL	030816-MW-506_(Rat230_2).CEL	031516-MW-503_(Rat230_2).CEL	030816-MW-520_(Rat230_2).CEL	030816-MW-508_(Rat230_2).CEL	030816-MW-510_(Rat230_2).CEL	030816-MW-511_(Rat230_2).CEL	031516-MW-509_(Rat230_2).CEL	030816-MW-513_(Rat230_2).CEL	030816-MW-514_(Rat230_2).CEL	030816-MW-515_(Rat230_2).CEL	030816-MW-516_(Rat230_2).CEL	031516-MW-517_(Rat230_2).CEL	030816-MW-526_(Rat230_2).CEL	030816-MW-521_(Rat230_2).CEL	030816-MW-522_(Rat230_2).CEL	030816-MW-523_(Rat230_2).CEL	031516-MW-519_(Rat230_2).CEL	030816-MW-531_(Rat230_2).CEL	030816-MW-528_(Rat230_2).CEL	030816-MW-529_(Rat230_2).CEL	031516-MW-527_(Rat230_2)_2.CEL	031516-MW-530_(Rat230_2).CEL	030816-MW-532_(Rat230_2).CEL	030816-MW-534_(Rat230_2).CEL	031516-MW-535_(Rat230_2).CEL	031516-MW-536_(Rat230_2).CEL	030816-MW-507_(Rat230_2).CEL
1398253_at	3.4893544	3.5520062	3.5597737	3.244975	3.3450787	3.4086137	3.4788306	3.36378	3.5031295	3.2988172	3.340438	3.4879181	3.3693016	3.4573832	3.301445	3.5275476	3.5120783	3.7101698	3.5191145	3.2681527	3.4564598	3.3909192	3.1357045	3.5396392	3.4721563	3.6231651	3.318699	3.552637	3.2495103
1398254_at	6.2853394	6.1955523	6.280653	6.172406	6.2052	6.3975005	6.3040123	6.322149	6.481733	6.433594	6.282996	6.2457047	6.0950603	6.238514	6.300147	6.173094	6.279286	6.480112	6.2129993	6.30031	6.150894	6.032744	5.988229	6.375284	6.10165	6.157416	5.8986177	6.313636	6.0986223
1398255_at	2.6184707	2.5757928	2.6094854	3.0025377	2.6380281	2.709736	2.636879	2.6543999	2.8374302	2.7122042	2.6261396	2.680109	2.6658475	3.051075	2.7669895	2.7378676	2.7663984	2.418841	2.6759934	2.679835	2.7047951	2.68097	2.5415776	3.0740902	2.679478	2.6680567	2.7796245	2.7120833	2.6097462
1398256_at	6.299585	6.1044374	6.2957745	6.410706	6.0763025	6.406246	6.3370714	6.3573365	6.1536903	6.216776	6.516695	6.025186	6.238897	5.818922	6.0991836	6.1264796	6.031746	6.0210123	6.180236	6.445224	5.977788	6.199016	6.5142345	5.957997	5.9854755	6.144776	5.824911	5.854534	6.188615
1398257_at	3.8656533	4.0520372	3.8058662	4.0581903	3.7702837	4.081081	4.2324386	3.861467	4.3177795	4.06158	3.7507966	4.016039	3.4389114	4.2421546	4.076785	3.9785228	3.9016023	4.1884155	4.166107	3.8440795	3.8079438	4.1129622	3.6750312	4.203015	3.755974	4.0612574	3.9171271	3.99337	3.8272984
1398258_at	3.0393617	2.8727715	2.8355615	3.3572118	3.274014	2.969853	3.283921	3.0556147	3.00731	2.9549515	3.1099706	2.9223719	3.020256	3.3398092	3.0343435	3.0163758	3.1634557	2.9583824	3.2523832	2.8358278	2.8809025	2.7667127	3.03303	3.11891	2.963966	3.0669658	3.1641886	3.1605392	2.8186235
1398259_at	6.4969134	6.4385576	6.587541	6.415354	6.4907885	6.466281	6.4018745	6.394499	6.043362	6.3728623	6.362292	6.1644135	6.5847316	6.1762986	6.3934784	6.381218	6.35336	6.488701	6.275079	6.4764547	6.3018346	6.461442	6.41684	6.076177	6.3726377	6.353423	6.384094	6.2122955	6.485487
1398260_a_at	12.662145	12.585247	12.642361	12.666115	12.657332	12.724381	12.611737	12.642157	12.580273	12.612263	12.659233	12.61706	12.791496	12.701014	12.624223	12.649625	12.563995	12.677384	12.591705	12.591994	12.580942	12.601294	12.673138	12.497662	12.609382	12.565924	12.578591	12.56641	12.685926
1398261_at	6.252343	6.0575094	6.144854	5.966497	6.1516833	6.291408	6.159382	6.289609	6.0284038	6.2355094	6.252154	6.0671406	6.1003795	5.9256535	6.2287264	6.239109	6.2736697	6.101725	5.993573	6.238098	6.142824	6.2001553	6.5656013	5.8927927	6.2922444	6.086267	6.1860633	6.085461	6.0972667
1398262_at	5.009051	5.3156877	4.92348	4.6350007	5.1662745	5.116218	5.0061145	5.002119	4.653907	5.160698	5.2565985	4.862685	5.0543356	4.8447313	5.2031317	4.793089	4.2262354	5.2431326	4.9172792	5.354631	4.9947896	5.0261383	5.116355	4.5071936	5.059772	4.8990526	5.24422	4.9448385	4.9246616
1398263_at	4.098829	4.161329	4.049924	4.137098	4.3524294	4.095597	4.101544	4.1396317	4.4716787	4.208897	4.357147	4.139365	3.9613547	4.380342	3.9481845	4.123071	4.0274897	4.105223	4.184627	4.166642	4.238832	4.238113	3.9731498	4.6800857	4.173124	4.0245376	3.892654	4.4770265	4.3732677
1398264_at	4.2543764	4.2557354	4.548148	4.6215534	4.427289	4.222845	4.6339455	4.6008873	4.7523947	4.4626684	4.373928	4.734767	4.369569	4.536047	4.368152	4.440566	4.6413517	4.258976	4.64604	4.3681746	4.281556	4.2156744	4.4355106	4.7129536	4.621913	4.584097	4.2593584	4.586753	4.101305
1398265_at	6.358593	6.250774	6.024103	6.376343	6.3931446	6.3189898	6.2953167	6.2679396	6.0443573	6.487864	5.924011	6.542176	5.92077	6.1825747	6.3351474	6.2134943	6.46331	6.1549335	6.2645187	6.2368236	6.2127423	6.193828	5.927052	5.8493176	5.905871	6.1589	6.4805202	6.3086805	6.3437505
