Something	702-030916-MW_(Rat230_2).CEL	703-030916-MW_(Rat230_2).CEL	705-030916-MW_(Rat230_2).CEL	706-030916-MW_(Rat230_2).CEL	707-030916-MW_(Rat230_2).CEL	708-030916-MW_(Rat230_2).CEL	710-030916-MW_(Rat230_2).CEL	712-030916-MW_(Rat230_2).CEL	713-030916-MW_(Rat230_2).CEL	714-030916-MW_(Rat230_2).CEL	715-030916-MW_(Rat230_2).CEL	717-030916-MW_(Rat230_2).CEL	719-030916-MW_(Rat230_2).CEL	720-030916-MW_(Rat230_2).CEL	721-030916-MW_(Rat230_2).CEL	724-030916-MW_(Rat230_2).CEL	726-030916-MW_(Rat230_2).CEL	727-030916-MW_(Rat230_2).CEL	728-030916-MW_(Rat230_2).CEL	729-030916-MW_(Rat230_2).CEL	730-030916-MW_(Rat230_2).CEL	732-030916-MW_(Rat230_2).CEL	733-030916-MW_(Rat230_2).CEL	734-030916-MW_(Rat230_2).CEL	735-030916-MW_(Rat230_2).CEL	736-030916-MW_(Rat230_2).CEL
1392939_at	4.761011	4.5991545	4.3874145	4.514657	4.406452	4.368655	4.4819803	4.8111954	3.9984925	4.4798574	4.5337877	4.1801853	4.4090996	4.402378	4.095985	4.4845486	4.623643	4.714267	4.7396483	4.4386926	4.2388873	4.3296595	4.453128	4.625761	4.46379	4.1543846
1392941_at	5.6004043	5.996375	5.527505	5.5673857	5.749888	6.0430183	5.6374407	5.883455	5.7715583	5.641079	5.665726	5.5951786	5.810321	5.7082973	5.7414193	5.733596	5.501057	5.7959366	5.7536817	5.7299194	5.8614006	5.8118143	5.749465	5.9513855	5.639303	5.7437515
1392958_at	7.3005753	7.3697786	7.5324726	7.3337564	7.3541307	7.289419	7.3428583	7.302875	7.2505016	7.0800986	7.3645806	7.360096	7.176553	7.251417	7.3235645	7.3012586	7.347029	7.473038	7.3595634	7.1702437	7.1786094	7.1342626	7.270039	7.1851206	7.40998	7.2574606
1392960_at	8.180765	8.293335	8.086974	8.240437	8.010747	8.145533	8.269396	8.043747	8.012601	8.035241	8.260598	8.053628	8.058862	8.132619	8.110366	8.028174	8.066573	8.163551	8.1884575	7.9785743	8.250934	8.039833	8.21838	7.854817	8.090575	8.158682
1392996_at	2.857679	2.9389899	3.0871074	3.0897756	3.1126864	2.7939463	3.0923216	3.069817	2.998777	3.1253014	3.027071	2.9191458	3.0101304	3.1248584	2.765417	3.164061	3.033234	2.8928227	2.9418237	3.436997	2.9437492	3.0859509	3.2150936	3.041137	2.9652846	3.087574
1393013_at	5.4226456	5.267352	5.1776013	5.1779995	5.2810087	5.254541	5.4280005	5.351278	5.1620975	5.233095	5.1899242	5.3956976	5.1657057	5.3834624	5.2387543	5.3569283	5.2632484	5.184895	5.5078125	5.228304	5.270306	5.258333	5.38818	5.4242396	5.3463936	5.1717663
1393018_at	4.0090647	3.8968754	3.791122	3.7510328	4.2746353	3.905527	4.079934	3.7190456	4.1885304	3.5845752	4.10563	3.9212253	4.1587505	4.139316	4.0092373	3.9325125	3.6740413	3.964874	3.7440596	3.7634788	3.6924691	4.0468273	4.000097	4.234498	4.139942	4.2122955
1393026_at	5.0956674	4.939338	4.900729	5.064122	4.928265	4.854843	4.9401355	4.9074025	4.7977023	4.988082	5.049125	5.2486935	4.8577733	5.1885657	4.8053355	4.8278975	5.099318	5.098353	5.046327	5.0614877	5.222664	5.045686	5.320369	5.016963	4.628986	4.87765
1393031_at	5.4846907	5.430962	5.4797893	5.2328973	5.442449	5.517071	5.5337453	5.641279	5.6556244	5.232341	5.497512	5.6677213	5.598253	5.4314756	5.525701	5.3832326	5.397048	5.4575033	5.5714498	5.725524	5.5367703	5.3365407	5.3904324	5.469889	5.2989306	5.4215956
1393045_at	5.5155973	5.49381	5.5027294	5.433573	5.362892	5.453544	5.378542	5.318169	5.6434703	5.2967553	5.4602537	5.529124	5.5773497	5.4062233	5.435428	5.612489	5.3079476	5.50594	5.877643	5.437271	5.658982	5.630559	5.349304	5.510401	5.5542526	5.5464582
