Something	401-031616-JAP_(Rat230_2).CEL	402-031616-JAP_(Rat230_2).CEL	404-031616-JAP_(Rat230_2).CEL	405-031616-JAP_(Rat230_2).CEL	406-031616-JAP_(Rat230_2).CEL	407-031616-JAP_(Rat230_2).CEL	408-031616-JAP_(Rat230_2).CEL	410-031616-JAP_(Rat230_2).CEL	411-031616-JAP_(Rat230_2).CEL	412-031616-JAP_(Rat230_2).CEL	413-031616-JAP_(Rat230_2).CEL	414-031616-JAP_(Rat230_2).CEL	416-031616-JAP_(Rat230_2).CEL	417-031616-JAP_(Rat230_2).CEL	418-031616-JAP_(Rat230_2).CEL	419-031616-JAP_(Rat230_2).CEL	421-031616-JAP_(Rat230_2).CEL	422-031616-JAP_(Rat230_2).CEL	423-031616-JAP_(Rat230_2).CEL	424-031616-JAP_(Rat230_2).CEL	425-031616-JAP_(Rat230_2).CEL	426-031616-JAP_(Rat230_2).CEL	427-031616-JAP_(Rat230_2).CEL	428-031616-JAP_(Rat230_2).CEL	429-031616-JAP_(Rat230_2).CEL	431-031616-JAP_(Rat230_2).CEL	432-031616-JAP_(Rat230_2).CEL	433-031616-JAP_(Rat230_2).CEL	435-031616-JAP_(Rat230_2).CEL	436-031616-JAP_(Rat230_2).CEL
1376718_at	6.0824347	6.1803	6.513763	6.5436563	6.3870745	6.460121	6.4367094	6.1726494	6.4098744	6.295044	6.1798115	6.2059336	6.28032	6.374041	6.484167	6.559529	6.47954	6.366764	6.3914323	6.223888	6.2024155	6.2519712	6.5721703	6.5916896	6.52439	6.455949	6.4263186	6.4113135	6.300953	6.2349243
1376719_at	8.002527	8.124194	7.812291	7.774099	7.8219895	7.844511	7.8146143	8.2983885	8.035784	7.535423	7.7250376	7.763841	7.8857765	7.642017	7.9079514	7.6590714	7.9610424	8.174878	7.607909	7.845197	7.6859446	7.8819623	8.195848	8.3538	7.7233334	8.058928	7.9951777	7.8637457	8.0052185	7.699565
1376720_at	5.8060203	6.1377025	6.2317357	6.0279374	6.0262485	6.069992	6.0115457	6.003998	6.022275	5.9986415	5.9270654	6.048002	6.0217834	6.2214007	6.032623	6.2605453	6.264234	6.2358136	6.072889	6.056416	6.0032606	6.097565	6.058006	6.144524	6.3117933	6.2249794	6.1518464	6.0104904	6.1744466	6.035036
1376721_at	3.484229	3.0690486	3.1174474	3.332083	3.3066397	3.0488803	3.1607652	3.2238991	3.2011907	3.300915	3.201422	3.3666556	3.1379907	3.0229707	3.282408	3.2774434	3.207306	3.2684453	3.2386765	3.1343827	3.2784045	3.4147286	3.361361	3.3548493	3.4736578	3.1149738	3.2447743	3.2891355	3.2022548	3.1828327
1376722_at	7.18924	7.149981	7.094282	7.1598997	7.186284	6.982617	6.8323154	6.8839407	7.2156963	7.124765	7.3645997	7.305428	7.024434	7.4145637	7.300144	7.2085	7.3020263	7.058876	7.12638	6.9163933	7.4636626	7.3869824	7.36066	6.857577	7.335684	7.3123207	6.9146957	7.2736397	7.600777	7.4402266
1376723_a_at	8.077682	7.7630215	7.920593	8.058525	8.14448	7.743528	7.949328	7.838086	7.970963	8.140011	7.9507284	8.203962	7.71315	8.188618	7.9185543	7.746863	8.207344	7.6868625	7.722318	8.1774845	7.997569	8.000584	8.129575	7.8457932	7.897497	8.025318	7.9893813	8.043119	8.161087	7.962444
1376724_at	4.1187725	4.307837	4.05129	4.6007013	3.687925	3.8581219	4.55009	4.3213563	4.121133	4.4034257	4.2389255	3.9244628	4.1835794	4.3751745	3.9339235	4.038808	4.0131574	3.9633477	3.919971	4.1743937	3.9557757	4.180884	3.908554	4.0086584	4.245861	4.1104245	3.9379706	4.1046524	3.8827834	3.8790514
1376725_at	7.3163586	6.6908383	7.1523237	7.253418	6.740509	7.178572	7.167183	7.262963	7.342341	6.528604	7.412691	7.1861086	6.57253	7.0298142	7.1939635	6.799751	7.0949144	7.296222	7.0304074	6.9873295	7.1529646	7.265836	7.219719	7.1822596	5.9685802	7.317584	6.705147	7.2663984	7.4487486	7.118263
1376726_at	3.196722	3.1087344	3.0256622	3.209679	3.0805433	3.0003262	3.0210805	2.9853516	3.118731	3.090888	2.9935534	3.3794994	3.026254	3.2628608	3.2246454	3.0584483	3.1469104	3.2190113	3.1688046	3.0763617	3.162433	3.08355	3.0407975	3.4877176	3.058637	2.9459217	3.4310246	3.2095685	2.959423	3.0817475
1376727_at	10.17049	10.127811	10.129474	10.07644	10.131184	10.082346	10.125729	10.117039	10.204519	10.0929165	10.179287	9.936367	10.101353	9.993198	9.908468	9.859203	9.995458	10.065632	10.049141	10.129326	10.051893	10.221359	10.098885	10.164967	9.762131	10.004459	10.212841	10.132852	9.98062	9.956386
1376728_at	8.790721	9.014294	8.859237	8.955714	8.64918	9.123145	8.614699	8.813451	8.930493	8.546204	8.5322695	8.607026	8.587465	8.62173	8.7756815	8.841942	8.744031	8.852021	8.514522	8.660014	8.565652	8.752493	8.816677	8.69063	8.597263	9.006572	8.76212	8.869363	8.410185	8.661316
1376729_at	5.0139275	5.068568	5.055503	5.0838556	5.218849	5.06036	4.539612	5.1591196	4.829969	4.947789	5.1546535	4.784189	5.1680756	5.033844	4.64618	4.889397	4.8977537	5.0906296	4.994174	5.2281656	5.165644	4.743679	5.0436535	5.2100286	5.039089	4.701706	4.8868484	5.020631	4.973854	5.2132683
1376730_at	5.9350257	6.1080036	5.8737984	6.157138	5.996012	6.0688806	6.1405077	5.8217545	5.895732	5.8296227	6.2766776	6.2188945	6.053336	5.995373	5.999092	6.0907826	5.873032	5.9102354	6.1813517	5.9611692	6.194371	5.9929204	6.079062	6.0848384	6.0252953	6.1982465	6.0900655	5.969407	6.114184	5.813107
1376731_at	7.7593102	7.742423	7.7632957	7.7539883	7.8237267	7.8602233	7.8487067	7.6451907	7.741712	7.7642694	7.796172	7.836108	7.8114195	7.817876	7.8034735	7.5571985	7.781915	7.847322	7.7904906	7.5979705	7.828924	7.8166876	7.824848	7.877431	7.4453874	7.7881947	7.939928	7.704755	7.75947	7.5376062
1376732_at	4.7400427	4.6876383	4.587504	4.610685	4.863656	4.759617	4.58537	4.881156	4.57825	5.046359	4.688287	4.812729	4.9816914	4.7763567	4.323102	4.6181984	4.8582344	4.5263634	4.94528	4.621949	4.6503754	5.0744705	4.796073	4.8609962	5.133226	4.6691694	4.8727484	4.8334446	4.5923405	4.6550407
1376733_at	8.460813	8.39889	8.494133	8.341532	8.492926	8.466383	8.349321	8.4350395	8.233457	8.4169855	8.364476	8.467236	8.488355	8.535833	8.383013	8.464113	8.395028	8.509271	8.367066	8.585433	8.426622	8.293222	8.525918	8.366883	8.706046	8.346893	8.322145	8.310037	8.382349	8.368067
1376734_at	3.4763446	3.4971673	3.8112855	3.7335193	3.6712685	3.5793777	3.624863	3.835804	3.301436	4.1452837	3.476852	3.8583808	3.4233787	3.4675748	4.040562	3.8397844	4.1748066	3.518129	3.75887	3.5385878	3.700733	3.8011491	3.8682566	3.7692602	3.920613	3.853197	3.8046865	3.9993615	3.7276096	3.7439952
1376735_at	4.369055	4.6160574	4.5872526	4.5196214	4.298727	4.6904163	4.0425825	4.544516	4.334403	4.4030495	4.420595	4.9442434	4.2075663	4.5979533	4.7678595	4.162059	4.2562957	4.0815115	4.2333293	4.3223395	4.2330165	4.157567	4.28015	4.5824695	4.349242	4.616279	4.5229774	4.365426	4.4048123	4.3287897
1376736_at	3.150668	2.942296	2.9132388	3.0947914	2.9538474	3.1687264	3.2429285	3.0272145	3.1084087	2.8333068	2.9858615	3.1286693	2.8325977	3.071804	3.0612493	2.8679671	3.1146278	2.9281638	3.1251948	3.1226974	2.9669456	2.9925494	2.9548285	3.0425248	2.8836064	3.1868358	3.0198543	3.1472993	2.9249551	2.9855072
